,uBlue,Blue,Green,Red,Swir1,Nir,Swir2,dt
176,528.0,528.0,721.0458015267176,823.5,1676.8333333333333,1861.125,1199.1653543307086,1999-09-01
177,725.4999999999999,725.4999999999999,810.8534836065573,842.5,1488.7125850340137,1873.7161234991422,957.5,1999-10-01
178,396.1910634856449,396.1910634856449,537.3366654092795,504.7516033547114,1268.642857142857,2001.601030110935,688.5,1999-11-01
179,433.0,433.0,646.0,531.0,1751.0,2822.0,959.0,1999-12-01
182,495.33465608465605,495.33465608465605,737.5000000000001,782.5566163410301,1811.9999999999998,2360.0,1179.9999999999998,2000-03-01
183,688.2126829268293,688.2126829268293,968.3958218801539,1116.9999999999998,2237.0,1865.8338607594937,1762.5,2000-04-01
184,482.07142857142856,482.07142857142856,698.1458333333334,723.0,1896.4576612903224,2053.5,1400.417485265226,2000-05-01
185,519.0,519.0,740.625,782.0,1951.5,2148.3364116094986,1422.298947368421,2000-06-01
186,578.0,578.0,798.2142857142857,888.2857142857143,2113.0,2421.6227106227107,1516.658151260504,2000-07-01
187,539.25,539.25,733.1068734283318,854.1866764275255,1888.25,2101.678841309824,1326.9616336633662,2000-08-01
188,491.125,491.125,666.0,781.0,1822.5,2117.8743394010567,1225.5760869565217,2000-09-01
189,451.0,451.0,572.0,653.0,1530.0,1652.0,1017.0,2000-10-01
190,402.0,402.0,515.0,581.0,1461.0,1361.0,851.0,2000-11-01
191,477.99999999999994,477.99999999999994,656.0,592.0,1687.0,2317.868343195266,987.0,2000-12-01
192,488.4308628318584,488.4308628318584,681.0,651.2514792899409,1840.387537993921,2160.671822461332,1210.9222054380664,2001-01-01
193,681.5,681.5,924.0,865.5,1792.4813084112147,2484.0,1106.5,2001-02-01
194,545.5,545.5,781.4594594594596,739.0,1918.2179775280897,2752.711701526286,1333.2486788021138,2001-03-01
195,806.2357512953369,806.2357512953369,1129.0,1330.0,2412.5000000000005,2101.8333333333335,1881.5949166004766,2001-04-01
196,563.0,563.0,802.0,895.0,1942.0,2036.0,1547.9999999999998,2001-05-01
197,600.9052183173588,600.9052183173588,865.0,949.3228260869565,2240.0,2504.132425742574,1672.0,2001-06-01
198,506.8904382470119,506.8904382470119,704.8756313131314,780.0000000000001,1794.049757281553,2025.6370967741934,1322.498031496063,2001-07-01
199,541.2,541.2,706.8805970149253,780.9285714285714,1772.0833333333333,2052.0,1274.734950859951,2001-08-01
200,528.2234881682734,528.2234881682734,708.0000000000001,802.0,1657.0,1966.0,1186.0,2001-09-01
201,444.96983914209113,444.96983914209113,610.7858189276296,673.2907549234135,1609.778653295129,1828.9159525379036,1006.0,2001-10-01
202,407.0,407.0,527.0,557.0,1305.3333333333333,1597.0812807881775,780.3268596555515,2001-11-01
203,695.0,695.0,909.0,827.0,2110.0,2309.0,1371.0,2001-12-01
204,382.5,382.5,659.2844559585493,532.0,1416.5,2397.0,787.1609042553191,2002-01-01
205,475.0,475.0,734.0,785.0,1841.0,2038.0,1269.0,2002-02-01
